Cabinet door styles,Cabinet material and finish styles,Color Palette,Cabinet Hardware and metals,Countertops and backsplash,prompt,style,id
Textured glass,,,,,"A wide-angle shot of a nice, updated kitchen with Japandi interior design style. The Cabinet door should be Textured glass, but don't make it the focus of the image.",Japandi,0
,Maple with stain,,Wood knob,Bamboo,"A wide-angle shot of a nice, updated kitchen with Japandi interior design style. The Cabinet material and finish should be Maple with stain, but don't make it the focus of the image. The Cabinet Hardware should include Wood knob, but don't make it the focus of the image. The Countertops and backsplash should include Bamboo, but don't make it the focus of the image.",Japandi,1
,,,Brushed satin nickel bin-style pull,Soapstone,"A wide-angle shot of a nice, updated kitchen with Japandi interior design style. The Cabinet Hardware should include Brushed satin nickel bin-style pull, but don't make it the focus of the image. The Countertops and backsplash should include Soapstone, but don't make it the focus of the image.",Japandi,2
Shaker door,Maple with stain,,,,"A wide-angle shot of a nice, updated kitchen with Japandi interior design style. The Cabinet door should be Shaker, but don't make it the focus of the image. The Cabinet material and finish should be Maple with stain, but don't make it the focus of the image.",Japandi,3
,,,,Butcher block,"A wide-angle shot of a nice, updated kitchen with Japandi interior design style. The Countertops and backsplash should include Butcher block, but don't make it the focus of the image.",Japandi,4
,,Warm cream,Brushed satin nickel straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Pacific Northwest interior design style. The Color Palette should include Warm cream. The Cabinet Hardware should include Brushed satin nickel straight-bar pull, but don't make it the focus of the image.",Pacific Northwest,5
Textured glass,,Ocean blue,Wood knob or pull,,"A wide-angle shot of a nice, updated kitchen with Pacific Northwest interior design style. The Cabinet door should be Textured glass, but don't make it the focus of the image. The Color Palette should include Ocean blue. The Cabinet Hardware should include Wood knob or pull, but don't make it the focus of the image.",Pacific Northwest,6
,Maple with paint finish,Ocean blue,,,"A wide-angle shot of a nice, updated kitchen with Pacific Northwest interior design style. The Cabinet material and finish should be Maple with paint finish, but don't make it the focus of the image. The Color Palette should include Ocean blue.",Pacific Northwest,7
,,Deep forest green,Antique copper decorative knob,,"A wide-angle shot of a nice, updated kitchen with Pacific Northwest interior design style. The Color Palette should include Deep forest green. The Cabinet Hardware should include Antique copper decorative knob, but don't make it the focus of the image.",Pacific Northwest,8
,Walnut with glaze finish,Slate stone,Brushed satin nickel straight-bar pull,Soapstone,"A wide-angle shot of a nice, updated kitchen with Pacific Northwest interior design style. The Cabinet material and finish should be Walnut with glaze finish, but don't make it the focus of the image. The Color Palette should include Slate stone. The Cabinet Hardware should include Brushed satin nickel straight-bar pull, but don't make it the focus of the image. The Countertops and backsplash should include Soapstone, but don't make it the focus of the image.",Pacific Northwest,9
Inset panel door - non-beaded,,,Matte black straight-bar pull,Quartz,"A wide-angle shot of a nice, updated kitchen with Contemporary interior design style. The Cabinet door should be Inset panel - non-beaded, but don't make it the focus of the image. The Cabinet Hardware should include Matte black straight-bar pull, but don't make it the focus of the image. The Countertops and backsplash should include Quartz, but don't make it the focus of the image.",Contemporary,10
,,,Brushed satin nickel with straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Contemporary interior design style. The Cabinet Hardware should include Brushed satin nickel with straight-bar pull, but don't make it the focus of the image.",Contemporary,11
Recessed panel door,Eco veneer with a matte finish,Charcoal gray,Brushed satin nickel with straight-bar pull,Concrete,"A wide-angle shot of a nice, updated kitchen with Contemporary interior design style. The Cabinet door should be Recessed panel, but don't make it the focus of the image. The Cabinet material and finish should be Eco veneer with a matte finish, but don't make it the focus of the image. The Color Palette should include Charcoal gray. The Cabinet Hardware should include Brushed satin nickel with straight-bar pull, but don't make it the focus of the image. The Countertops and backsplash should include Concrete, but don't make it the focus of the image.",Contemporary,12
,,Matte black,,,"A wide-angle shot of a nice, updated kitchen with Contemporary interior design style. The Color Palette should include Matte black.",Contemporary,13
Slab door,Laminate,,,,"A wide-angle shot of a nice, updated kitchen with Contemporary interior design style. The Cabinet door should be Slab, but don't make it the focus of the image. The Cabinet material and finish should be Laminate, but don't make it the focus of the image.",Contemporary,14
,,,,,"A wide-angle shot of a nice, updated kitchen with Coastal interior design style.",Coastal,15
Inset panel door - beaded,,Soft white,,,"A wide-angle shot of a nice, updated kitchen with Coastal interior design style. The Cabinet door should be Inset panel - beaded, but don't make it the focus of the image. The Color Palette should include Soft white.",Coastal,16
,,,Antique copper bin-style pull,Marble,"A wide-angle shot of a nice, updated kitchen with Coastal interior design style. The Cabinet Hardware should include Antique copper bin-style pull, but don't make it the focus of the image. The Countertops and backsplash should include Marble, but don't make it the focus of the image.",Coastal,17
Shaker door,Maple with paint finish,,,,"A wide-angle shot of a nice, updated kitchen with Coastal interior design style. The Cabinet door should be Shaker, but don't make it the focus of the image. The Cabinet material and finish should be Maple with paint finish, but don't make it the focus of the image.",Coastal,18
,,Pale blue,Stainless steel straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Coastal interior design style. The Color Palette should include Pale blue. The Cabinet Hardware should include Stainless steel straight-bar pull, but don't make it the focus of the image.",Coastal,19
,,,Hammered pewter bin-style pull,,"A wide-angle shot of a nice, updated kitchen with Asian-Inspired interior design style. The Cabinet Hardware should include Hammered pewter bin-style pull, but don't make it the focus of the image.",Asian-Inspired,20
,Maple with glaze finish,,,Butcher block,"A wide-angle shot of a nice, updated kitchen with Asian-Inspired interior design style. The Cabinet material and finish should be Maple with glaze finish, but don't make it the focus of the image. The Countertops and backsplash should include Butcher block, but don't make it the focus of the image.",Asian-Inspired,21
,,Earthen terra-cotta,Hammered pewter bin-style pull,,"A wide-angle shot of a nice, updated kitchen with Asian-Inspired interior design style. The Color Palette should include Earthen terra-cotta. The Cabinet Hardware should include Hammered pewter bin-style pull, but don't make it the focus of the image.",Asian-Inspired,22
,,,,,"A wide-angle shot of a nice, updated kitchen with Asian-Inspired interior design style.",Asian-Inspired,23
,,,,Terra-cotta tiles,"A wide-angle shot of a nice, updated kitchen with Asian-Inspired interior design style. The Countertops and backsplash should include Terra-cotta tiles, but don't make it the focus of the image.",Asian-Inspired,24
Mullion doors with glass,Birch with glaze finish,Warm gray,Wrought iron straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Cottage interior design style. The Cabinet door should be Mullions with glass, but don't make it the focus of the image. The Cabinet material and finish should be Birch with glaze finish, but don't make it the focus of the image. The Color Palette should include Warm gray. The Cabinet Hardware should include Wrought iron straight-bar pull, but don't make it the focus of the image.",Cottage,25
,,,,,"A wide-angle shot of a nice, updated kitchen with Cottage interior design style.",Cottage,26
Shaker door,,,Wrought iron straight-bar pull,Marble,"A wide-angle shot of a nice, updated kitchen with Cottage interior design style. The Cabinet door should be Shaker, but don't make it the focus of the image. The Cabinet Hardware should include Wrought iron straight-bar pull, but don't make it the focus of the image. The Countertops and backsplash should include Marble, but don't make it the focus of the image.",Cottage,27
,,,,Butcher block,"A wide-angle shot of a nice, updated kitchen with Cottage interior design style. The Countertops and backsplash should include Butcher block, but don't make it the focus of the image.",Cottage,28
Shaker door,,,,Marble,"A wide-angle shot of a nice, updated kitchen with Cottage interior design style. The Cabinet door should be Shaker, but don't make it the focus of the image. The Countertops and backsplash should include Marble, but don't make it the focus of the image.",Cottage,29
Mullion door with glass,,Deep forest green,,,"A wide-angle shot of a nice, updated kitchen with Craftsman interior design style. The Cabinet door should be Mullion with glass, but don't make it the focus of the image. The Color Palette should include Deep forest green.",Craftsman,30
Recessed panel door,Walnut with clear finish,Warm ochre,Hammered pewter bin-style pull,,"A wide-angle shot of a nice, updated kitchen with Craftsman interior design style. The Cabinet door should be Recessed panel, but don't make it the focus of the image. The Cabinet material and finish should be Walnut with clear finish, but don't make it the focus of the image. The Color Palette should include Warm ochre. The Cabinet Hardware should include Hammered pewter bin-style pull, but don't make it the focus of the image.",Craftsman,31
Mullion door with glass,Hickory with natural finish,,,,"A wide-angle shot of a nice, updated kitchen with Craftsman interior design style. The Cabinet door should be Mullion with glass, but don't make it the focus of the image. The Cabinet material and finish should be Hickory with natural finish, but don't make it the focus of the image.",Craftsman,32
,Walnut with clear finish,Warm ochre,Hammered pewter bin-style pull,Tile - subway,"A wide-angle shot of a nice, updated kitchen with Craftsman interior design style. The Cabinet material and finish should be Walnut with clear finish, but don't make it the focus of the image. The Color Palette should include Warm ochre. The Cabinet Hardware should include Hammered pewter bin-style pull, but don't make it the focus of the image. The Countertops and backsplash should include Tile - subway, but don't make it the focus of the image.",Craftsman,33
Beadboard door,,Burnt sienna,,,"A wide-angle shot of a nice, updated kitchen with Craftsman interior design style. The Cabinet door should be Beadboard, but don't make it the focus of the image. The Color Palette should include Burnt sienna.",Craftsman,34
Decorative raised panel,Hickory with stain,Warm terra-cotta,,,"A wide-angle shot of a nice, updated kitchen with French Country interior design style. The Cabinet door should be Decorative raised panel, but don't make it the focus of the image. The Cabinet material and finish should be Hickory with stain, but don't make it the focus of the image. The Color Palette should include Warm terra-cotta.",French Country,35
,,,Pewter hammered pull,Tile - subway,"A wide-angle shot of a nice, updated kitchen with French Country interior design style. The Cabinet Hardware should include Pewter hammered pull, but don't make it the focus of the image. The Countertops and backsplash should include Tile - subway, but don't make it the focus of the image.",French Country,36
Mullion doors with glass,Cherry with glaze,,Oil-rubbed bronze bin-style pull,Soapstone,"A wide-angle shot of a nice, updated kitchen with French Country interior design style. The Cabinet door should be Mullions with glass, but don't make it the focus of the image. The Cabinet material and finish should be Cherry with glaze, but don't make it the focus of the image. The Cabinet Hardware should include Oil-rubbed bronze bin-style pull, but don't make it the focus of the image. The Countertops and backsplash should include Soapstone, but don't make it the focus of the image.",French Country,37
,,,Pewter hammered pull,Tile - painted or patterned,"A wide-angle shot of a nice, updated kitchen with French Country interior design style. The Cabinet Hardware should include Pewter hammered pull, but don't make it the focus of the image. The Countertops and backsplash should include Tile - painted or patterned, but don't make it the focus of the image.",French Country,38
,Cherry with glaze,,,Tile - subway,"A wide-angle shot of a nice, updated kitchen with French Country interior design style. The Cabinet material and finish should be Cherry with glaze, but don't make it the focus of the image. The Countertops and backsplash should include Tile - subway, but don't make it the focus of the image.",French Country,39
,Walnut with a natural finish,Terra-cotta,,,"A wide-angle shot of a nice, updated kitchen with Mediterranean interior design style. The Cabinet material and finish should be Walnut with a natural finish, but don't make it the focus of the image. The Color Palette should include Terra-cotta.",Mediterranean,40
Mullion doors with glass,,,,Marble,"A wide-angle shot of a nice, updated kitchen with Mediterranean interior design style. The Cabinet door should be Mullions with glass, but don't make it the focus of the image. The Countertops and backsplash should include Marble, but don't make it the focus of the image.",Mediterranean,41
,Alder with a distressed finish,Terra-cotta,Hammered pewter rounded knob,Tile - glass,"A wide-angle shot of a nice, updated kitchen with Mediterranean interior design style. The Cabinet material and finish should be Alder with a distressed finish, but don't make it the focus of the image. The Color Palette should include Terra-cotta. The Cabinet Hardware should include Hammered pewter rounded knob, but don't make it the focus of the image. The Countertops and backsplash should include Tile - glass, but don't make it the focus of the image.",Mediterranean,42
,,,Wrought iron straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Mediterranean interior design style. The Cabinet Hardware should include Wrought iron straight-bar pull, but don't make it the focus of the image.",Mediterranean,43
Raised panel door,,,Oil-rubbed bronze bin-style pull,Granite,"A wide-angle shot of a nice, updated kitchen with Mediterranean interior design style. The Cabinet door should be Raised panel, but don't make it the focus of the image. The Cabinet Hardware should include Oil-rubbed bronze bin-style pull, but don't make it the focus of the image. The Countertops and backsplash should include Granite, but don't make it the focus of the image.",Mediterranean,44
,,Mint green,Oil-rubbed bronze bin-style pull,,"A wide-angle shot of a nice, updated kitchen with Shabby Chic interior design style. The Color Palette should include Mint green. The Cabinet Hardware should include Oil-rubbed bronze bin-style pull, but don't make it the focus of the image.",Shabby Chic,45
,Birch with distressed finish,,,Beadboard,"A wide-angle shot of a nice, updated kitchen with Shabby Chic interior design style. The Cabinet material and finish should be Birch with distressed finish, but don't make it the focus of the image. The Countertops and backsplash should include Beadboard, but don't make it the focus of the image.",Shabby Chic,46
Beadboard door,Hickory with distressed finish,Cream,Ceramic decorative knob,Butcher block,"A wide-angle shot of a nice, updated kitchen with Shabby Chic interior design style. The Cabinet door should be Beadboard, but don't make it the focus of the image. The Cabinet material and finish should be Hickory with distressed finish, but don't make it the focus of the image. The Color Palette should include Cream. The Cabinet Hardware should include Ceramic decorative knob, but don't make it the focus of the image. The Countertops and backsplash should include Butcher block, but don't make it the focus of the image.",Shabby Chic,47
,Oak with paint finish,Cream,,,"A wide-angle shot of a nice, updated kitchen with Shabby Chic interior design style. The Cabinet material and finish should be Oak with paint finish, but don't make it the focus of the image. The Color Palette should include Cream.",Shabby Chic,48
,,,,Tile - subway,"A wide-angle shot of a nice, updated kitchen with Shabby Chic interior design style. The Countertops and backsplash should include Tile - subway, but don't make it the focus of the image.",Shabby Chic,49
,,,Oil-rubbed bronze bin-style pull,,"A wide-angle shot of a nice, updated kitchen with Shaker interior design style. The Cabinet Hardware should include Oil-rubbed bronze bin-style pull, but don't make it the focus of the image.",Shaker,50
Recessed panel door,,,Oil-rubbed bronze bin-style pull,,"A wide-angle shot of a nice, updated kitchen with Shaker interior design style. The Cabinet door should be Recessed panel, but don't make it the focus of the image. The Cabinet Hardware should include Oil-rubbed bronze bin-style pull, but don't make it the focus of the image.",Shaker,51
Beadboard door,,,Wood knob or pull,,"A wide-angle shot of a nice, updated kitchen with Shaker interior design style. The Cabinet door should be Beadboard, but don't make it the focus of the image. The Cabinet Hardware should include Wood knob or pull, but don't make it the focus of the image.",Shaker,52
,,Pale blue,,,"A wide-angle shot of a nice, updated kitchen with Shaker interior design style. The Color Palette should include Pale blue.",Shaker,53
Slab door,,,,Butcher block,"A wide-angle shot of a nice, updated kitchen with Shaker interior design style. The Cabinet door should be Slab, but don't make it the focus of the image. The Countertops and backsplash should include Butcher block, but don't make it the focus of the image.",Shaker,54
Inset panel door - beaded,Cherry with stain,Terra-cotta,Wrought iron straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Spanish Mission interior design style. The Cabinet door should be Inset panel - beaded, but don't make it the focus of the image. The Cabinet material and finish should be Cherry with stain, but don't make it the focus of the image. The Color Palette should include Terra-cotta. The Cabinet Hardware should include Wrought iron straight-bar pull, but don't make it the focus of the image.",Spanish Mission,55
,,,Wrought iron straight-bar pull,Tile - painted or patterned,"A wide-angle shot of a nice, updated kitchen with Spanish Mission interior design style. The Cabinet Hardware should include Wrought iron straight-bar pull, but don't make it the focus of the image. The Countertops and backsplash should include Tile - painted or patterned, but don't make it the focus of the image.",Spanish Mission,56
,,Creamy white,,Terra-cotta tiles,"A wide-angle shot of a nice, updated kitchen with Spanish Mission interior design style. The Color Palette should include Creamy white. The Countertops and backsplash should include Terra-cotta tiles, but don't make it the focus of the image.",Spanish Mission,57
,,,,Terra-cotta tiles,"A wide-angle shot of a nice, updated kitchen with Spanish Mission interior design style. The Countertops and backsplash should include Terra-cotta tiles, but don't make it the focus of the image.",Spanish Mission,58
,Walnut with oil finish,Warm beige,Leather straight-bar pull,Butcher block,"A wide-angle shot of a nice, updated kitchen with Spanish Mission interior design style. The Cabinet material and finish should be Walnut with oil finish, but don't make it the focus of the image. The Color Palette should include Warm beige. The Cabinet Hardware should include Leather straight-bar pull, but don't make it the focus of the image. The Countertops and backsplash should include Butcher block, but don't make it the focus of the image.",Spanish Mission,59
Inset panel door - beaded,,,Antique copper decorative knob,,"A wide-angle shot of a nice, updated kitchen with Traditional interior design style. The Cabinet door should be Inset panel - beaded, but don't make it the focus of the image. The Cabinet Hardware should include Antique copper decorative knob, but don't make it the focus of the image.",Traditional,60
Beadboard door,Maple with paint,,Antique copper decorative knob,Marble,"A wide-angle shot of a nice, updated kitchen with Traditional interior design style. The Cabinet door should be Beadboard, but don't make it the focus of the image. The Cabinet material and finish should be Maple with paint, but don't make it the focus of the image. The Cabinet Hardware should include Antique copper decorative knob, but don't make it the focus of the image. The Countertops and backsplash should include Marble, but don't make it the focus of the image.",Traditional,61
,,,,Quartz,"A wide-angle shot of a nice, updated kitchen with Traditional interior design style. The Countertops and backsplash should include Quartz, but don't make it the focus of the image.",Traditional,62
,Oak with glaze,Deep navy,,,"A wide-angle shot of a nice, updated kitchen with Traditional interior design style. The Cabinet material and finish should be Oak with glaze, but don't make it the focus of the image. The Color Palette should include Deep navy.",Traditional,63
Raised panel door,Oak with glaze,Mahogany,Antique copper decorative knob,,"A wide-angle shot of a nice, updated kitchen with Traditional interior design style. The Cabinet door should be Raised panel, but don't make it the focus of the image. The Cabinet material and finish should be Oak with glaze, but don't make it the focus of the image. The Color Palette should include Mahogany. The Cabinet Hardware should include Antique copper decorative knob, but don't make it the focus of the image.",Traditional,64
,,Deep sapphire blue,,Quartz,"A wide-angle shot of a nice, updated kitchen with Victorian interior design style. The Color Palette should include Deep sapphire blue. The Countertops and backsplash should include Quartz, but don't make it the focus of the image.",Victorian,65
,,,,Tile - painted or patterned,"A wide-angle shot of a nice, updated kitchen with Victorian interior design style. The Countertops and backsplash should include Tile - painted or patterned, but don't make it the focus of the image.",Victorian,66
,Walnut with distressed finish,,,Quartz,"A wide-angle shot of a nice, updated kitchen with Victorian interior design style. The Cabinet material and finish should be Walnut with distressed finish, but don't make it the focus of the image. The Countertops and backsplash should include Quartz, but don't make it the focus of the image.",Victorian,67
Mullion doors with glass,Maple with paint,,Glass knobs,,"A wide-angle shot of a nice, updated kitchen with Victorian interior design style. The Cabinet door should be Mullions with glass, but don't make it the focus of the image. The Cabinet material and finish should be Maple with paint, but don't make it the focus of the image. The Cabinet Hardware should include Glass knobs, but don't make it the focus of the image.",Victorian,68
,Cherry with glaze,Creamy ivory,,Tile - painted or patterned,"A wide-angle shot of a nice, updated kitchen with Victorian interior design style. The Cabinet material and finish should be Cherry with glaze, but don't make it the focus of the image. The Color Palette should include Creamy ivory. The Countertops and backsplash should include Tile - painted or patterned, but don't make it the focus of the image.",Victorian,69
Inset panel door - beaded,,Mustard yellow,Wrought iron straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Bohemian interior design style. The Cabinet door should be Inset panel - beaded, but don't make it the focus of the image. The Color Palette should include Mustard yellow. The Cabinet Hardware should include Wrought iron straight-bar pull, but don't make it the focus of the image.",Bohemian,70
Art glass,Hickory with glaze,,Glass knob,Tile - painted or patterned,"A wide-angle shot of a nice, updated kitchen with Bohemian interior design style. The Cabinet door should be Art glass, but don't make it the focus of the image. The Cabinet material and finish should be Hickory with glaze, but don't make it the focus of the image. The Cabinet Hardware should include Glass knob, but don't make it the focus of the image. The Countertops and backsplash should include Tile - painted or patterned, but don't make it the focus of the image.",Bohemian,71
,Walnut with stain,,Glass knob,Butcher block,"A wide-angle shot of a nice, updated kitchen with Bohemian interior design style. The Cabinet material and finish should be Walnut with stain, but don't make it the focus of the image. The Cabinet Hardware should include Glass knob, but don't make it the focus of the image. The Countertops and backsplash should include Butcher block, but don't make it the focus of the image.",Bohemian,72
"Textured glass (frosted, rice paper, reeded)",Eco veneer with a natural finish,Creamy white,Ceramic decorative knob,,"A wide-angle shot of a nice, updated kitchen with Bohemian interior design style. The Cabinet door should be Textured glass (frosted, rice paper, reeded), but don't make it the focus of the image. The Cabinet material and finish should be Eco veneer with a natural finish, but don't make it the focus of the image. The Color Palette should include Creamy white. The Cabinet Hardware should include Ceramic decorative knob, but don't make it the focus of the image.",Bohemian,73
,,Creamy white,,,"A wide-angle shot of a nice, updated kitchen with Bohemian interior design style. The Color Palette should include Creamy white.",Bohemian,74
Beadboard door,Birch with distressed finish,Terra-cotta,,Tile - subway,"A wide-angle shot of a nice, updated kitchen with Eclectic interior design style. The Cabinet door should be Beadboard, but don't make it the focus of the image. The Cabinet material and finish should be Birch with distressed finish, but don't make it the focus of the image. The Color Palette should include Terra-cotta. The Countertops and backsplash should include Tile - subway, but don't make it the focus of the image.",Eclectic,75
Shaker door,Walnut with stain,Deep navy blue,Leather straight-bar pull,Tile - subway,"A wide-angle shot of a nice, updated kitchen with Eclectic interior design style. The Cabinet door should be Shaker, but don't make it the focus of the image. The Cabinet material and finish should be Walnut with stain, but don't make it the focus of the image. The Color Palette should include Deep navy blue. The Cabinet Hardware should include Leather straight-bar pull, but don't make it the focus of the image. The Countertops and backsplash should include Tile - subway, but don't make it the focus of the image.",Eclectic,76
Beadboard door,,Warm gray,,,"A wide-angle shot of a nice, updated kitchen with Eclectic interior design style. The Cabinet door should be Beadboard, but don't make it the focus of the image. The Color Palette should include Warm gray.",Eclectic,77
Shaker door,,,Leather straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Eclectic interior design style. The Cabinet door should be Shaker, but don't make it the focus of the image. The Cabinet Hardware should include Leather straight-bar pull, but don't make it the focus of the image.",Eclectic,78
,,,Brushed satin nickel straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Eclectic interior design style. The Cabinet Hardware should include Brushed satin nickel straight-bar pull, but don't make it the focus of the image.",Eclectic,79
,Acrylic in high-gloss,Soft greige,,Quartz,"A wide-angle shot of a nice, updated kitchen with Euro Modern interior design style. The Cabinet material and finish should be Acrylic in high-gloss, but don't make it the focus of the image. The Color Palette should include Soft greige. The Countertops and backsplash should include Quartz, but don't make it the focus of the image.",Euro Modern,80
,Eco veneer in natural wood with satin finish,,,,"A wide-angle shot of a nice, updated kitchen with Euro Modern interior design style. The Cabinet material and finish should be Eco veneer in natural wood with satin finish, but don't make it the focus of the image.",Euro Modern,81
,Acrylic in high-gloss,,,,"A wide-angle shot of a nice, updated kitchen with Euro Modern interior design style. The Cabinet material and finish should be Acrylic in high-gloss, but don't make it the focus of the image.",Euro Modern,82
,Laminate in high-gloss,Charcoal gray,,,"A wide-angle shot of a nice, updated kitchen with Euro Modern interior design style. The Cabinet material and finish should be Laminate in high-gloss, but don't make it the focus of the image. The Color Palette should include Charcoal gray.",Euro Modern,83
Shaker door,,Matte black,,,"A wide-angle shot of a nice, updated kitchen with Euro Modern interior design style. The Cabinet door should be Shaker, but don't make it the focus of the image. The Color Palette should include Matte black.",Euro Modern,84
,,,,Beadboard,"A wide-angle shot of a nice, updated kitchen with Farmhouse interior design style. The Countertops and backsplash should include Beadboard, but don't make it the focus of the image.",Farmhouse,85
,Birch with stain finish,Sage green,,,"A wide-angle shot of a nice, updated kitchen with Farmhouse interior design style. The Cabinet material and finish should be Birch with stain finish, but don't make it the focus of the image. The Color Palette should include Sage green.",Farmhouse,86
